Topic,Top Terms
Topic 00,online,high-performance,compression,image,support,algorithm,processing,robust,processor,packet,smart,shared,services,fpgas,low-cost,buffer,multiple,profiling,security,dsp
Topic 01,body,recognition,physical,monitoring,area,activity,sensors,multiple,devices,tool,device,energy-efficient,mac,selection,reconfigurations,hierarchical,smart,processing,reliable,multiprocessors
Topic 02,energy-efficient,allocation,techniques,task,variable,hard,optimal,coalescing,processor,dynamically,schedulability,compositional,multiprocessor,low-cost,processing,probabilistic,buffer,computation,graphs,stream
Topic 03,modeling,integration,virtual,towards,trade-offs,under,thread,parallelism,over,scalable,probabilistic,nets,theory,processor,method,computation,i/o,hierarchical,fault,workload
Topic 04,distributed,secure,routing,sharing,localization,computing,reconfigurations,schedulability,hard,smart,based,scalable,processing,platform,low-cost,methodology,programming,thread,lightweight,advanced
Topic 05,dynamic,platforms,video,vliw,exploration,programs,profiling,support,instructions,interactive,services,over,controllers,leakage,evaluation,via,workload,fault,scalable,computation
Topic 06,cyber-physical,fast,programming,networked,devices,tool,introduction,framework,probabilistic,compositional,static,packet,methodology,accurate,over,scalable,localization,via,algorithm,smart
Topic 07,mobile,framework,trade-off,dynamic,selection,programming,localization,attacks,communication,robust,model-driven,methodology,energy,application-specific,workload,chip,multiprocessors,smart,soc,platform
Topic 08,efficient,implementation,storage,flash-memory,reduction,layer,dsp,size,processor,under,communication,devices,evaluation,thread,protocol,over,controllers,probabilistic,methodology,localization
Topic 09,java,environment,garbage,collection,processing,fpgas,services,specification,localization,lightweight,shared,system,security,interactive,application-specific,evaluation,algorithm,improving,protocol,methods
Topic 10,processors,voltage,low-power,estimation,dynamically,optimal,custom,application-specific,variable,information,scalable,packet,thread,processing,scratchpad,processor,algorithm,instructions,static,improving
Topic 11,introduction,section,multiprocessor,exploration,space,system-on-chip,advanced,chip,platform,application-specific,processing,soc,engineering,probabilistic,multiprocessors,shared,smart,platforms,robust,methodology
Topic 12,based,time,instruction,model,execution,checking,caches,analyzing,petri,nets,reactive,communication,thread,protocol,controllers,schedulability,compositional,reliable,fpga,processors
Topic 13,generation,automatic,programs,from,specifications,systemc,loop,loops,partitioning,application,reactive,stream,communication,hierarchical,via,evaluation,tool,graphs,services,instructions
Topic 14,performance,constraints,formal,detection,under,soft,specification,i/o,method,fpga,deadlock,reactive,methods,methodology,mac,protocol,workload,implementations,reconfigurations,shared
Topic 15,assignment,algorithms,offset,hard,address,register,evaluation,processor,communication,algorithm,reconfigurations,size,buffer,coalescing,security,variable,localization,tasks,minimal,scheme
Topic 16,system,applications,operating,exploiting,compiler,energy,interactive,dsp,online,processor,application-specific,engineering,parallelism,mac,fault,stream,specification,thread,size,trade-offs
Topic 17,power,runtime,efficiency,reconfiguration,through,on-chip,communication,static,algorithm,computation,fpgas,parallelism,reconfigurations,controllers,improving,compiler,probabilistic,fault,profiling,scalable
Topic 18,heterogeneous,energy-aware,task,computing,register,reliable,coalescing,policies,reactive,scheduling,instructions,video,over,communication,algorithm,engineering,techniques,parallelism,probabilistic,shared
Topic 19,efficient,parallel,technique,simulation,instruction-set,distributed,computing,estimation,deadlock,over,model-driven,methods,improving,algorithm,hierarchical,fpgas,reduction,workload,size,processing
Topic 20,editorial,guest,configurable,computing,algorithms,hardware,security,model-driven,soc,exploration,engineering,space,cache,parallelism,introduction,probabilistic,shared,section,dynamically,evaluation
Topic 21,cache,instruction,highly,low,device,reduction,processing,analyzing,evaluation,fpgas,application-specific,security,protocol,localization,multiple,methods,attacks,theory,stream,interactive
Topic 22,flash,hybrid,scheme,translation,layer,algorithm,abstraction,lightweight,address,buffer,smart,under,security,localization,information,probabilistic,fault,attacks,deadlock,compiler
Topic 23,study,system-level,case,power-aware,computing,accurate,fast,smart,soc,unified,methodology,power,modeling,engineering,exploration,profiling,parallelism,implementations,probabilistic,synthesis
Topic 24,verification,petri,refinement,safety,nets,abstraction,deadlock,hybrid,localization,via,specification,fault,controllers,computation,application,communication,dynamically,security,introduction,systemc
Topic 25,energy,reducing,leakage,tasks,cache,loops,vliw,improving,parallelism,java,workload,low,via,highly,nets,runtime,reconfiguration,packet,processing,environment
Topic 26,applications,mapping,mpsocs,scheduling,streaming,application,dynamic,policies,unified,robust,reconfigurations,reliable,buffer,profiling,methodology,specifications,computation,multiprocessors,workload,algorithm
Topic 27,architectures,synthesis,multicore,pipelined,fpga,implementations,execution,robust,model,theory,vliw,checking,processing,parallel,leakage,computation,multiprocessors,controllers,smart,evaluation
Topic 28,scheduling,models,synchronous,flow,tasks,scratchpad,minimal,graphs,nets,static,security,processor,improving,smart,algorithm,buffer,hierarchical,via,information,packet
Topic 29,hardware,partitioning,exploration,loops,support,method,i/o,space,processing,evaluation,algorithm,security,information,multiprocessors,fault,attacks,deadlock,image,buffer,application-specific
