Topic,Top Terms
Topic 00,spatial,objects,join,structured,computation,moving,views,range,group,continuous,road,ring,indexes,materialized,cube,optimal,aggregates,location-based,connected,tracking
Topic 01,learning,adaptive,kernel,large-scale,machine,alignment,fast,discriminant,class,understanding,activity,iterative,representations,imbalanced,semi-supervised,nonlinear,embedding,role,effective,multiple
Topic 02,method,learning,application,concept,its,new,object,techniques,filtering,handling,identification,generation,complex,properties,predictive,supervised,through,representing,specification,multimedia
Topic 03,introduction,guest,editors,engineering,special,section,management,development,software,uncertainty,international,conference,issue,cloud,ieee,editorial,multimedia,foreword,knowledge-based,structured
Topic 04,retrieval,indexing,image,structure,multidimensional,spatial,effective,managing,large,scheme,file,representation,hashing,images,automated,design,very,exact,environment,symbolic
Topic 05,wireless,management,generalized,allocation,broadcast,mobile,relations,computing,index,sensor,delivery,optimizing,environment,link,environments,grid,order,cache,replication,content
Topic 06,evaluation,model,performance,implementation,optimal,language,bases,design,object,its,neural,spatial,supporting,finding,natural,rule-based,keyword,flexible,materialization,synchronization
Topic 07,probabilistic,discovery,sql,framework,ranking,learning,content-based,graph-based,generalization,world,programming,results,personal,classifiers,transfer,method,wide,genetic,web,users
Topic 08,patterns,xml,discovery,pattern,sequential,sequence,ensemble,classifier,social,model,framework,partial,accurate,general,tree,sets,online,presence,different,learning
Topic 09,web,automatic,documents,semantic,view,structural,resource,toward,acquisition,extraction,semantics,consistency,towards,composition,content,tables,dynamic,sources,pages,page
Topic 10,real-time,secure,constraints,architecture,security,multilevel,integrity,protocol,transactions,streaming,software,active,object,collaborative,object-oriented,scheduling,media,on-demand,detection,consistency
Topic 11,text,classification,active,categorization,toward,domains,without,multiple,rules,integrating,unsupervised,correlation,among,ensembles,functional,relationships,applications,across,expression,ranking
Topic 12,problem,sets,fuzzy,large,decision,trees,tree,privacy,representation,preserving,classification,partitioning,high,integration,rough,solving,cost-sensitive,missing,extending,discretization
Topic 13,optimization,parallel,techniques,object-oriented,rule-based,improving,video,production,problems,index,recommendation,language,performance,propagation,state,constraint,disjunctive,join,heuristic,environment
Topic 14,modeling,frequent,graph,memory,approaches,intelligent,knowledge-based,closed,their,between,intelligence,performance,artificial,visualization,maximal,planning,methodology,main,correction,applications
Topic 15,association,rules,novel,learning,classification,new,extraction,online,via,privacy-preserving,signature,scheduling,load,attributes,domain,binary,acquisition,knowledge-based,balancing,measuring
Topic 16,semantic,access,storage,services,under,ontology,internet,model,p2p,replicated,virtual,building,environment,method,detecting,disk,framework,use,prefetching,challenges
Topic 17,semantic,web,visual,bayesian,framework,applications,features,skyline,user,qualitative,evolving,entity,theory,formal,identifying,hidden,resolution,quantitative,constraints,reasoning
Topic 18,deductive,matching,semantics,extended,models,personalized,retrieval,integration,perspective,mapping,logical,complexity,relation,languages,logic,support,recursive,boolean,objects,sources
Topic 19,control,concurrency,study,reduction,access,dimensionality,combining,update,case,schema,policies,regression,real-time,object-oriented,local,summarization,applying,mechanisms,model,dependencies
Topic 20,network,high-dimensional,peer-to-peer,quality,cluster,service,space,computing,caching,estimation,learning,maximum,subspace,decomposition,distance,local,approximate,making,uncertain,framework
Topic 21,detection,streams,querying,monitoring,survey,joins,continuous,mobile,environments,strategies,sharing,updates,performance,dbms,random,sampling,schemes,large,large-scale,framework
Topic 22,editorial,scalable,hierarchical,vector,support,dynamic,conceptual,cooperative,hybrid,transactions,eic,assignment,distribution,tkde,board,learning,scheme,graph,training,state
Topic 23,time,series,pattern,patterns,discovering,prediction,sequences,stream,frequent,event,events,asynchronous,mixture,multiple,characterization,discovery,human,energy,classification,interaction
Topic 24,feature,selection,set,technique,approximate,structures,attribute,via,large,detection,rough,protection,k-means,matching,clusters,number,sample,string,supporting,fast
Topic 25,models,transaction,applications,through,evaluating,user,approximation,spaces,topic,navigation,comparison,recovery,learning,interactive,online,integrated,markov,binary,ontologies,organization
Topic 26,reasoning,design,heterogeneous,process,representation,aggregate,global,knowledge-based,feedback,constructing,models,digital,integrating,functions,logs,multiagent,relevance,constraint,library,providing
Topic 27,rule,logic,nearest,inference,neighbor,statistical,expert,programs,model,fuzzy,petri,value,finding,induction,verification,extraction,spaces,base,reverse,cost
Topic 28,multimedia,methods,new,document,access,linear,measures,introducing,agents,model,generation,universal,content,optimized,distance,domain,electronic,adaptation,annotation,spatio-temporal
Topic 29,over,graphs,incremental,uncertain,streams,top-k,multiple,aggregation,sensor,skyline,practical,maintenance,compression,dynamic,scheme,join,partition,management,effective,optimizing
