Topic,Top Terms
Topic 00,piezoelectric,dynamic,manipulators,force,shape,visual,positioning,beam,high-speed,stage,nonholonomic,driven,memory,tube,mobile,flexible,vibration,uncertainties,microscopy,electrically
Topic 01,analysis,attitude,cell,fuel,spacecraft,performance,manufacturing,navigation,stabilization,decentralized,state,partial,space,observer,converters,relative,saturation,under,boost,hydrogen
Topic 02,disk,drives,hard,rejection,current,disturbance,lyapunov,test,machine,induction,rotor,disturbances,smart,dual-stage,enhanced,its,stability,estimator,transfer,multiple
Topic 03,implementation,under,optimal,turbine,state,constraints,real-time,dynamic,estimator,trajectory,robotic,bounded,helicopter,uncertainty,force,problems,input,attitude,aerial,unmanned
Topic 04,compensation,friction,precision,unknown,robotic,results,manipulators,suppression,coordinated,actuator,environment,new,domain,internal,positioning,passive,underwater,identification,failure,static
Topic 05,magnetic,distributed,fuzzy,plant,bearing,voltage,supervisory,intelligent,energy,harmonic,solar,field,subject,network-based,mechanism,air,wind,applied,affine,saturation
Topic 06,identification,tuning,linear,vibration,controllers,models,dynamic,switching,frequency,parameter,closed-loop,model,dynamics,lpv,electrical,structural,methods,automated,parameters,order
Topic 07,applications,time,optimization,seeking,fuel,algorithm,bilateral,improved,extremum,delay,teleoperation,analysis,haptic,real-time,urban,catalytic,improving,consumption,model,interaction
Topic 08,sliding,mode,electric,discrete-time,observer-based,motor,synchronous,modes,time-varying,technique,integral,motors,surface,perturbation,permanent,platform,time,method,networks,current
Topic 09,fault,detection,induction,motors,wind,isolation,turbines,diagnosis,two,combined,unmanned,gas,large,doubly,model-based,satellite,natural,rotor,simultaneous,generator
Topic 10,constrained,multivariable,gain,pid,plants,phase,global,output,selection,optimal,programming,through,scheduling,its,polymerization,interval,method,second-order,stabilization,inversion
Topic 11,process,method,optimal,integrated,generation,linear,its,automatic,scheduling,suspension,quadratic,paper,energy-based,adaptation,magnet,optimization,large,powertrain,water,regularized
Topic 12,flight,process,path,techniques,thermal,optimal,real-time,processes,controllers,formation,uavs,model-based,multivariable,helicopters,multiple,localization,plus,problem,unmanned,semiconductor
Topic 13,guidance,study,optimal,novel,law,handling,constraints,differential,information,braking,case,problem,angle,flight,missiles,heavy,impact,benchmark,suspension,pointing
Topic 14,model,performance,temperature,air,flow,reduction,aircraft,reduced,feedforward,fast,compensation,vibration,inverse,impedance,actuator,limitations,shunt,low,hysteresis,load
Topic 15,velocity,dynamics,autonomous,decentralized,actuators,multiple,damping,measurements,coordination,without,passivity-based,ships,dynamic,underactuated,hysteresis,formations,distributed,nanopositioning,switched,smooth
Topic 16,scheme,fault-tolerant,online,monitoring,processes,fault,detection,filter,converter,sensor,prediction,kalman,stochastic,parameter,filters,identification,minimum,efficient,tolerant,particle
Topic 17,neural,network,networks,model,real-time,discrete,water,large-scale,traffic,tokamak,kalman,reactor,level,plasma,vertical,distribution,steam,filter-based,generator,intelligent
Topic 18,servo,torque,speed,wind,drive,periodic,high,disturbance,position,development,data,storage,boundary,editorial,friction,repetitive,bandwidth,improved,limits,learning
Topic 19,analysis,management,strategy,stability,manipulator,energy,flexible,engine,planning,parametric,results,load,transient,synthesis,idle,hcci,reference,speed,compression,its
Topic 20,variable,structure,steering,automotive,evaluation,model,brake,synthesis,magnetic,observers,slip,discrete-time,stability,motor,continuous,virtual,tire,transmission,performance,development
Topic 21,model,industrial,sensor,allocation,signal,avoidance,decoupling,linearization,sampling,disturbance,furnace,reference,loop,load,reducing,state,aircraft,networks,computation,collision
Topic 22,engine,actuator,validation,flexible,mechanical,valve,structures,sensor,electronic,operation,methods,observer,disturbance,repetitive,variable,optimal,position,throttle,designs,machines
Topic 23,experiments,theory,models,input,algorithms,from,rigid,identification,practical,mixed,inertia,body,point,velocity,lpv,state-space,approaches,set,input-output,generating
Topic 24,networked,observer,communication,sliding-mode,fuzzy,transmission,optimal,robustness,sensorless,model,autonomous,network,controlled,strategies,distributed,delays,balancing,formation,scheme,speed
Topic 25,regulation,model-based,output,lateral,new,indirect,pressure,hydraulic,sensors,direct,operation,attenuation,support,longitudinal,automated,demonstration,thermoacoustic,heavy-duty,designing,positive
Topic 26,iterative,learning,noise,cooperative,algorithm,feedforward,data-driven,production,mimo,identification,stable,cancellation,signals,search,task,framework,applied,evaluation,effects,constrained
Topic 27,mobile,fuzzy,parallel,wheeled,robots,actuators,trajectory,pendulum,pneumatic,horizon,synchronization,inverted,configuration,receding,experiment,manipulator,planar,comparison,2-dof,actuated
Topic 28,stabilization,surface,uncertain,function,backstepping,underactuated,functions,marine,comments,oscillations,basis,vessel,wireless,laser,rate,crane,response,vessels,asymptotic,dynamics
Topic 29,engines,diesel,class,injection,electrohydraulic,spark,combustion,cylinder,pressure,turbocharged,operating,ignition,mpc,systematic,conditions,mems,fuel,advanced,output,editorial
