Topic,Top Terms
Topic 00,thermal,runtime,microprocessors,efficient,modeling,monitoring,online,simulation,integration,planning,parallel,reordering,caches,high,through,survey,models,placement,partitioning,floorplanning
Topic 01,applications,multiprocessor,real-time,computation,soc,system-on-chip,optimization,energy,system-level,coverage,high,monitoring,communication,resource-constrained,application-specific,compression,implications,satisfiability,cores,concurrent
Topic 02,exploration,on-chip,automatic,communication,space,synthesis,evaluation,reuse,network-on-chip,applications,microprocessor,application-specific,parallel,survey,monitoring,customization,functional,system-level,boolean,placement
Topic 03,using,via,checking,equivalence,efficient,integration,phase,controllers,programs,retiming,rtl,concurrent,planning,formal,new,systemc,flow,behavioral,accurate,channel
Topic 04,code,simultaneous,models,ilp,dual,loops,pipelining,allocation,applications,compression,distributed,minimization,clustering,heuristic,leakage,input,access,microprocessor,specification,mpsoc
Topic 05,using,rectilinear,cell,blocks,block,compaction,placement,floorplans,vlsi,applications,path,steiner,large,effective,cmos,static,memories,channel,scheme,fault
Topic 06,low-power,processor,system-level,network,sensor,flow,wireless,node,platform,networks,processing,controllers,heuristic,gating,implementation,transformation,construction,improved,coverage,automation
Topic 07,synthesis,high-level,behavioral,optimization,resource,binding,scheduling,during,problem,application,distributed,sharing,timing,trade-offs,models,customization,gating,accurate,from,boolean
Topic 08,mapping,technology,fpga,structural,decomposition,lut-based,modules,sequential,minimization,application,designs,functional,pipelining,loops,chip,implications,module,memories,fast,leakage
Topic 09,using,functional,process,machine,bus,testing,state,approaches,finite,reducing,random,network-on-chip,retargetable,module,automation,language,fault,parallel,compilation,implementation
Topic 10,clock,tree,dynamic,buffer,skew,router,high-performance,synthesis,insertion,steiner,multiple,construction,custom,designs,constraints,cores,gating,networks,high,partial
Topic 11,architecture,networks,allocation,editorial,architectural,exploration,datapath,language,programmable,chip,trade-offs,synthesis,high-performance,monitoring,tools,methodologies,parallel,static,network-on-chip,customization
Topic 12,logic,sequential,based,using,optimization,combinational,symbolic,arrays,implications,synthesis,boolean,programs,faults,probabilistic,modules,emulation,concurrent,through,reordering,customization
Topic 13,timing,under,constraint,hybrid,optimization,exploiting,linear,variations,random,sequences,input,static,leakage,area,reordering,analog,programming,temporal,crosstalk,placement
Topic 14,dynamic,control,management,detection,error,optimization,scheme,voltage,online,level,technique,stochastic,system-on-chip,emulation,rate,caches,through,cmos,platforms,leakage
Topic 15,optimal,minimization,selection,effective,method,path,based,clock,construction,custom,parallel,access,optimizing,congestion,steiner,floorplan,layout,cmos,reordering,sharing
Topic 16,assignment,multiple,voltage,floorplanning,memories,effects,soc,large,planning,integrated,optimizing,sharing,temporal,buffer,routability,implementation,microprocessor,insertion,floorplan,transformation
Topic 17,register,technique,hierarchical,level,size,incremental,transformations,from,fault,custom,tools,estimation,application-specific,clustering,framework,coverage,specification,leakage,problem,layout
Topic 18,data,performance,estimation,cache,storage,applications,optimized,improved,reuse,processor,structures,technique,cores,level,compression,incremental,rate,automation,reordering,high
Topic 19,adaptive,special,introduction,section,editorial,validation,platforms,computing,issue,management,chip,methodologies,hardware,tools,parallel,programming,concurrent,new,automation,congestion
Topic 20,hardware,placement,high-level,vlsi,processing,digital,signal,linear,parallel,validation,systemc,boolean,satisfiability,switch,clustering,specification,congestion,survey,concurrent,customization
Topic 21,methodology,constraints,low,heterogeneous,reliability,vliw,application,energy,temporal,yield,router,parallel,input,pipelining,through,probabilistic,loops,implementation,concurrent,specification
Topic 22,designs,fast,analog,testing,yield,module,heuristic,leakage,optimizing,decomposition,boolean,coverage,gating,rate,cmos,modules,integrated,input,structures,concurrent
Topic 23,using,system,energy-efficient,fault,machines,scheduling,coverage,transition,faults,datapath,trade-offs,management,properties,chain,multiple,leakage,parallel,input,probabilistic,temporal
Topic 24,efficient,partitioning,scheduling,fpgas,synchronous,pipelined,graphs,dataflow,resource-constrained,stochastic,parallel,problem,partial,channel,hardware/software,caches,placement,routability,implementation,runtime
Topic 25,optimization,framework,virtual,acm,sizing,rtl,datapaths,crosstalk,todaes,wire,system,parallel,access,mpsoc,compilation,automation,systemc,machines,emulation,routability
Topic 26,simulation,modeling,faults,compact,over,parallel,retargetable,compilation,synchronous,programmable,accurate,new,adaptive,environment,graphs,heterogeneous,dataflow,language,using,mpsoc
Topic 27,synthesis,interconnect,physical,fpga,method,placement,high-performance,vlsi,retiming,over,crosstalk,high,framework,congestion,flow,properties,parallel,boolean,wire,environment
Topic 28,instruction,formal,set,codesign,encoding,hardware/software,efficient,synthesis,specifications,reducing,modeling,from,hardware-software,environment,specification,pipelined,high,custom,structures,reordering
Topic 29,energy,area,optimizations,switch,global,compiler,hybrid,floorplan,fpga,channel,routability,minimization,compression,through,computing,optimization,optimizing,models,clustering,modules
