Topic,Top Terms
Topic 00,processor,array,reconfigurable,linear,generalized,matrix,fast,computations,pipelined,bus,architecture,redistribution,assignment,multiplication,mesh,solving,costs,scalability,problems,architectures
Topic 01,heterogeneous,programming,reliable,divisible,clusters,static,processor,distribution,arbitrary,multipath,homogeneous,decomposition,strategies,loads,communications,models,gpu,energy-efficient,linear,low-cost
Topic 02,control,large-scale,management,effective,server,congestion,web,high-performance,applications,servers,distribution,technique,admission,petri,adaptation,cyber-physical,resource,feedback,composition,request
Topic 03,network,interconnection,processors,schemes,real-time,multicore,radio,rfid,optical,computation,hypercube,middleware,periodic,faults,sensing,tasks,massively,passive,simulations,monitoring
Topic 04,control,improving,message,real-time,via,methods,framework,problems,synchronization,flow,synchronous,prediction,regular,irregular,domain,compilation,end-to-end,clouds,mesh,partitioning
Topic 05,load,balancing,online,task,modeling,resource,network,machine,grids,replication,random,estimation,grid,computational,message-passing,characterization,asynchronous,power,discovery,availability
Topic 06,applications,architectures,models,support,framework,multithreaded,techniques,integrated,adaptive,selection,job,compiler,query,cache,cmp,clusters,multicore,large,aware,behavior
Topic 07,consistency,packet,distribution,placement,practical,assignment,programs,throughput,clustered,flexible,iterative,interconnects,content,simulated,multiprocessors,wdm,annealing,replica,optical,maintenance
Topic 08,delay,synchronization,asynchronous,under,constraints,tolerant,high,centers,cluster,replicated,cost,clock,cloud,databases,server,qos,convergence,opportunistic,virtual,large
Topic 09,editors,fault-tolerant,editorial,shared,special,high-performance,introduction,guest,section,collection,notice,sequence,computers,garbage,security,family,recovery,modular,issue,state
Topic 10,multiprocessor,hierarchical,machines,class,quality,consistent,fair,monitoring,flow,correlation,mechanism,active,vector,database,overlays,link,task,maximum,queue,through
Topic 11,graphs,detection,attacks,task,from,hybrid,disk,probabilistic,scheme,technique,star,deterministic,properties,against,identification,multiprocessors,under,ddos,real,onto
Topic 12,hoc,services,protocols,broadcasting,connected,applications,object,network,coverage,partial,clustering,selection,minimum,localized,set,connectivity,construction,dominating,backbone,neighbor
Topic 13,p2p,simulation,based,application,method,structured,codes,its,authentication,structures,gpus,anonymous,fast,power,vlsi,cluster,constant,distribution,paradigm,block
Topic 14,architecture,network,loops,mapping,partitioning,torus,arrays,deadlock,parallelization,automatic,loop,bandwidth,theory,runtime,systolic,routers,graph,neural,transformations,methodology
Topic 15,multiprocessors,protocol,shared-memory,note,cache,localization,coherence,hardware,large,enhanced,model,multicast,verification,large-scale,sequential,total,chip,ordering,evaluation,scientific
Topic 16,network,coding,graph,traffic,multihop,model,qos,protocol,content,modeling,social,delivery,ieee,scheme,stochastic,optimization,based,center,star,mobility
Topic 17,meshes,hypercubes,computation,paths,all-to-all,faulty,cycles,cubes,path,graphs,product,embedding,crossed,all,extended,broadcast,join,tori,their,minimal
Topic 18,exploiting,framework,optimizing,impact,optimization,parallelism,efficiency,patterns,unified,web,execution,improve,locality,access,minimizing,shared,prefetching,energy,capacity,robustness
Topic 19,time,execution,programs,parallelizing,platforms,heterogeneous,evaluation,software,logic,bounds,space,constrained,compilers,tasks,response,requirements,languages,trade-offs,speculative,processor
Topic 20,service,streaming,multistage,model,peer-to-peer,k-ary,n-cube,queuing,switching,video,channel,under,interconnection,servers,diagnosis,nodes,bandwidth,local,multiple,how
Topic 21,adaptive,hypercube,multicast,multicomputers,wormhole,fault-tolerant,computer,mesh,caching,wormhole-routed,virtual,deadlock-free,multicomputer,channels,architecture,mesh-connected,media,streaming,sorting,cooperative
Topic 22,scheme,storage,secure,access,cloud,mutual,exclusion,sharing,group,aggregation,key,concurrent,policies,agreement,privacy-preserving,enabling,decentralized,security,byzantine,quorum-based
Topic 23,new,problem,model,interconnection,multiple,recursive,strategy,highly,operations,cost,toward,reduction,cloud,solution,election,leader,meshes,reconfigurable,processor,parallelization
Topic 24,topology,trees,control,tree,hoc,embedding,binary,arrays,spanning,complete,energy-efficient,fault-tolerant,collection,hypercubes,multidimensional,constructing,links,its,solutions,reconfiguration
Topic 25,processing,management,real-time,resource,file,multiprocessor,implementation,internet,adaptive,evaluation,environment,over,replication,strategies,traffic,image,buffer,packet,filtering,hybrid
Topic 26,peer-to-peer,search,broadcast,unstructured,implementation,global,scaling,topologies,simd,fine-grained,overlay,model,maximizing,messages,latency,node,failures,computers,multiport,interprocedural
Topic 27,fault,energy,tolerance,embedded,overhead,detection,computers,grid,optimization,complexity,diagnosis,test,novel,massively,application,algorithm-based,low,joint,high-level,through
Topic 28,environments,overlay,collaborative,information,virtual,network,sharing,load,multicast,privacy,queries,dissemination,over,toward,service,balanced,correction,heuristics,mechanism,hypercubes
Topic 29,evaluation,i/o,applications,matching,program,case,workloads,cellular,approximate,reduction,detection,area,reconfiguration,experimental,study,user,intrusion,deadlock-free,part,processes
