Topic,Top Terms
Topic 00,editorial,guest,special,system-level,testing,interconnect,section,reconfiguration,ieee,system-on-chip,issue,prediction,transceivers,validation,asynchronous,use,silicon,autonomous,specification,null
Topic 01,process,variations,presence,technique,variation,compensation,adaptive,under,sram,ground,interface,body,bias,delay,supply,yield,large,analog,switching,novel
Topic 02,gating,fast,hybrid,multiplication,switching,bounds,activity,transition,mode,basis,framework,active,binary,planning,compaction,soc,scheduling,units,task,thermal
Topic 03,high-level,fpgas,management,routing,computing,array,memory,matching,thermal,automated,submicron,deep,exploring,novel,sensing,two,area,approach,ram,sram-based
Topic 04,analog,sensor,improved,integrated,ics,digital,compression,wireless,decoupling,scan,multiple,silicon,transceiver,nanoscale,neural,networks,applications,minimizing,cores,technologies
Topic 05,performance,high,high-performance,techniques,architectural,methodology,throughput,mixed-signal,microprocessors,adaptive,space,chip,routing,multiprocessors,aging,efficiency,socs,exploration,domain,solution
Topic 06,delay,fault,detection,path,faults,testing,diagnosis,transition,selection,scan,bist,sequential,simulation,improving,method,coverage,testability,defect,characterization,small
Topic 07,processors,processor,consumption,applications,instruction,set,through,high-performance,curve,elliptic,fpga,filter,reducing,sharing,techniques,cryptography,vliw,cache,heterogeneous,cryptographic
Topic 08,architectures,approach,fast,high-throughput,tree,multipliers,floorplanning,area-efficient,parallel,latency,codes,algorithms,avoidance,modular,decoder,combined,fir,coding,designs,search
Topic 09,asynchronous,communication,scaling,supply,linear,current,minimization,transistor,noise,operation,control,sleep,sizing,adaptive,leakage,through,tradeoffs,switch,modulation,critical
Topic 10,networks,interconnect,distribution,clock,transmission,distributed,computation,application,algorithm,modeling,methodology,large,models,via,line,statistical,model,single,global,lines
Topic 11,generation,verification,models,combinational,processors,automatic,cores,behavioral,fast,software,integration,program,simulation,timing,monitoring,effective,execution,three-dimensional,time,random
Topic 12,algorithm,decoding,decoder,decoders,codes,flexible,reed-solomon,novel,high-speed,partitioning,turbo,ldpc,parallel,implementation,compression,new,mimo,hardware,low-complexity,techniques
Topic 13,modeling,interconnects,noise,global,effect,delay,buffer,amplifier,insertion,signaling,crosstalk,inductance,rlc,switching,reduction,routing,networks-on-chip,approach,effects,application
Topic 14,memory,implementation,exploration,flow,architectures,multilevel,field,space,array,systolic,flash,gf(2,coarse-grained,fft,finite,multiplier,reliable,complexity,nand,implementations
Topic 15,generation,scheduling,timing,pattern,hardware,under,static,from,constraints,multiple,socs,testing,effective,schemes,fpgas,descriptions,noc,router,dataflow,into
Topic 16,error,built-in,memory,scheme,designs,sequential,soft,image,redundancy,tolerance,synchronous,memories,low-cost,rate,correction,elements,processing,2-d,framework,rams
Topic 17,technology,fpga,processor,performance,subthreshold,high-performance,impact,computation,modeling,processors,microprocessor,model,its,memories,gates,parameterized,application-specific,static,lut-based,optimizations
Topic 18,reduction,leakage,control,gate,fault-tolerant,current,novel,designing,framework,methodology,techniques,statistical,devices,transient,nanometer,considering,variability,technologies,characterization,transistor
Topic 19,frequency,digital,low,asynchronous,programmable,measurement,technique,clustering,multiplier,high,resolution,fully,clock,calibration,direct,phase,multiplication,overhead,high-performance,synthesizer
Topic 20,mapping,fpga,architectures,dsp,functional,code,network-on-chip,vector,tests,application,algorithms,compression,blocks,broadside,input,online,discrete,buffer,filters,encoding
Topic 21,interconnect,model,accurate,noise,prediction,evaluation,high-speed,timing,differential,signal,scalable,methods,low-voltage,mixed,density,i/o,novel,post-silicon,digital,inductance
Topic 22,bus,encoding,coupling,aware,technique,study,case,simulation,configuration,cache,reduction,length,variable,3-d,srams,wire,variation,considering,placement,traffic
Topic 23,cache,sram,cell,yield,time,reliability,flip-flop,reducing,minimization,exploiting,access,caches,leakage,selective,memory,partial,errors,enhancement,soft,due
Topic 24,network,3-d,techniques,low,parallel,new,energy-efficient,integration,scaling,processor,placement,supporting,considerations,pipelines,layout,heterogeneous,baseband,tsv,sram,structures
Topic 25,low,converter,dual,applications,technique,adaptive,voltages,supply,register,reduced,buck,buses,dc-dc,pipelining,threshold,error,power-gated,dram,microprocessor,converters
Topic 26,processing,signal,digital,high-speed,implementation,pipelined,hierarchical,multiplier,area,floating-point,scalable,correction,datapath,codesign,optimized,arithmetic,from,packet,element,clocking
Topic 27,gate,programmable,arrays,adder,flip-flops,concurrent,arithmetic,technology,comparison,field,cells,detection,field-programmable,standard,error,storage,full,compact,finfet,aes
Topic 28,clock,algorithm,level,fpga,hardware,synchronization,fast,loop,via,recovery,configurable,tuning,digital,number,generator,all-digital,supply,placement,skew,cycle
Topic 29,applications,integrated,real-time,3-d,soc,engine,video,adders,image,multiprocessor,multimedia,mobile,transform,h.264/avc,carry,hardware,robust,motion,core,scheduling
