Topic,Top Terms
Topic 00,transform,comments,note,discrete,fast,fourier,computing,transforms,architecture,differential,``a,scaling,integrated,filtering,response,dynamic,protocols,voltage,cosine,analog
Topic 01,number,residue,technique,without,images,compaction,sequences,new,large,learning,tolerance,machines,techniques,paths,graph,feature,bist,geometric,comments,virtual
Topic 02,codes,code,self-checking,detecting,errors,correcting,totally,systematic,unidirectional,checkers,comments,class,arithmetic,error-correcting,checker,byte,bit,single,low-cost,double
Topic 03,redundancy,modeling,environment,hardware,machine,yield,estimation,designs,integrated,dynamically,specification,reconfigurable,testing,through,mapping,enhancement,recognition,effects,description,grids
Topic 04,faults,modular,redundant,multiplication,high-speed,combinational,arithmetic,tests,number,representations,designing,logarithmic,circuit,on-line,bridging,complexity,montgomery,precision,cmos,hardware
Topic 05,sequential,machines,state,from,asynchronous,digital,universal,synchronous,synthesis,linear,signature,testing,theory,circuit,feedback,checking,experiments,scan,that,finite
Topic 06,prediction,improving,pipelined,search,branch,modulo,cache,model,sets,behavior,delay,register,throughput,characterization,based,program,analytical,adders,deadlock-free,modeling
Topic 07,model,diagnosis,multiprocessor,under,tasks,diagnosability,models,networks,time,comparison,queueing,periodic,priority,resource,diagnosable,placement,comment,evaluating,product,computing
Topic 08,cache,hardware,instruction,evaluation,support,parallelism,locality,prefetching,scalable,impact,value,high-performance,exploiting,replacement,hierarchical,coherence,software,multiprocessors,operating,multilevel
Topic 09,reliability,generation,software,automatic,based,digital,failure,nets,generalized,petri,time,stochastic,method,new,generator,pattern,generators,dependability,testability,theorem
Topic 10,function,functions,boolean,minimization,their,implementation,application,sequential,method,testable,realization,machines,synthesis,reduction,evaluation,minimizing,expressions,reed-muller,decomposition,power
Topic 11,networks,wireless,sensor,communication,mobile,broadcast,service,hoc,energy-efficient,information,distributed,protocol,scheme,computational,cost,toward,multimedia,event,quality,adaptive
Topic 12,editors,computing,introduction,special,guest,concurrent,evaluation,section,reliable,implementation,architecture,adaptive,applications,arithmetic,architectures,networks-on-chip,system-level,cloud,tolerance,supporting
Topic 13,applications,distributed,allocation,asynchronous,scheme,general,its,fast,new,compression,embedded,mobile,coding,application,information,encryption,processing,uniform,distribution,resource
Topic 14,processors,array,addition,binary,embedded,multicore,over,control,conversion,radix,curve,multithreading,i/o,implementations,elliptic,tolerant,number,vlsi,clustered,geometry
Topic 15,vlsi,tree,architectures,trees,implementation,schemes,structures,signal,architecture,reconfiguration,dynamic,processing,binary,structure,constructing,minimum,spanning,reed-solomon,extended,systolic
Topic 16,arithmetic,some,image,new,operations,floating-point,processing,unit,matrix,algorithm-based,microprocessor,simd,robust,correction,processor,results,cordic,fast,scheme,computation
Topic 17,testing,optimization,memories,random,access,pattern,multiple,cellular,automata,diagnosis,faults,dynamic,generation,recognition,theory,hybrid,comments,sequential,weighted,reply
Topic 18,management,dynamic,multiprocessors,load,adaptive,processor,networks,cache,power,packet,balancing,communications,distributed,sharing,framework,tree,multicast,resource,strategy,shared
Topic 19,distributed,its,hardware,application,neural,problems,sorting,models,database,associative,control,computation,protocols,multiprocessor,databases,model,programming,implementation,concurrent,evaluation
Topic 20,complexity,finite,new,multiplier,multipliers,multiplication,gf(2,field,over,fields,representation,fast,point,normal,basis,polynomial,class,low,bit-parallel,^m).
Topic 21,control,distributed,protocol,task,networks,flow,execution,allocation,packet,communication,channel,assignment,reliability,computing,hard,heterogeneous,efficiency,program,access,timing
Topic 22,division,square,root,computation,energy,low,flash,overhead,rounding,reducing,power,polynomial,floating-point,file,selection,vector,injection,soft,consumption,storage
Topic 23,binary,decision,path,delay,networks,bounds,diagrams,adder,properties,length,multiple-valued,improved,threshold,lower,k-ary,maximum,shuffle-exchange,reduced,sorting,constrained
Topic 24,networks,interconnection,multistage,local,graphs,multiple,permutation,ring,bus,area,star,class,connectivity,sorting,traffic,loop,scheme,distributed,dynamic,units
Topic 25,arrays,processor,array,linear,systolic,programmable,architecture,problem,hypercube,iterative,matrix,solution,computers,equations,new,division,mesh-connected,solving,large,cells
Topic 26,architecture,simulation,synchronization,study,hardware,latency,verification,vector,clock,ternary,formal,memories,digital,performability,case,failures,accurate,modeling,regular,computers
Topic 27,storage,architectures,high-performance,multiprocessor,disk,based,caches,novel,recovery,architecture,bubble,temporal,reconfigurable,parity,magnetic,scalable,processing,space,algebra,implementing
Topic 28,networks,hypercubes,combinational,two,embedding,multicomputer,broadcasting,tolerance,mechanism,switching,between,secure,meshes,probability,numerical,two-level,synthesis,faults,intermittent,reliability
Topic 29,functions,switching,method,set,functional,generation,minimal,input,generalized,partitioning,problem,level,multivalued,fast,minimum,classification,sets,number,complete,binary
