Topic,Top Terms
Topic 00,dynamic,convergence,allocation,problems,algorithm,algorithms,programming,optimization,case,approximate,through,theory,local,approximation,estimators,resource,simulation,under,discrete,network
Topic 01,matrix,equation,generalized,solution,equations,new,riccati,bounds,algebraic,lyapunov,periodic,differential,continuous-time,interpolation,inequalities,state-dependent,quadratic,constraint,upper,continuous
Topic 02,consensus,communication,multi-agent,random,networked,over,synchronization,delays,quantized,packet,mean,square,switching,topology,topologies,asynchronous,directed,system,time-varying,continuous-time
Topic 03,conditions,controllability,sufficient,observability,time-varying,necessary,condition,reachability,equivalence,sampled-data,criterion,switched,planar,coupled,dynamical,dissipativity,convergence,parameter,group,system
Topic 04,kalman,filtering,filter,iterative,learning,filters,error,properties,extended,estimator,algorithms,initial,realization,system,unified,numerical,measure,gaussian,based,heterogeneous
Topic 05,dynamic,perturbed,based,singularly,set,routing,games,output-feedback,equilibria,gradient,scalar,nash,dynamical,hybrid,behavior,parameterized,invariance,static,continuous,correction
Topic 06,markov,horizon,processes,finite,receding,constrained,cost,continuous-time,jump,decision,chains,principle,observations,controlled,average,controls,separation,matrices,guaranteed,general
Topic 07,results,further,uncertainties,global,vector,finite,based,controllers,closed-loop,transient,functions,dynamic,subspace,variance,asymptotic,queues,discretization,bounds,time-varying,parametric
Topic 08,discrete,event,decentralized,discrete-event,supervisory,diagnosis,partially,strong,synthesis,hierarchical,verification,probabilistic,sensor,nonblocking,abstractions,modular,parallel,selection,diagnosability,driven
Topic 09,time-delay,delay,some,lmi,neural,improved,criteria,new,functional,network,uncertainty,remarks,neutral,exponential,networked,feedforward,delay-dependent,comments,dynamical,time-varying
Topic 10,over,wireless,channels,sensor,power,theory,communication,gaussian,channel,actuator,properties,transmission,presence,energy,fundamental,hamiltonian,limitations,applications,models,controller
Topic 11,models,based,framework,observer,information,[book,recursive,review,scheme,sampling,flow,order,general,state-space,partial,mimo,lower,nonsmooth,high-gain,methods
Topic 12,time-varying,delays,unknown,input,dynamic,constraints,integral,backstepping,under,presence,arbitrary,compensation,optimization,finite-time,delay,convex,robustness,small,multiagent,continuous-time
Topic 13,application,graphs,observers,phase,observer,polynomials,system,structured,complex,interval,logic,their,uncertainty,prediction,limitations,finite-time,nonminimum,mimo,high,regions
Topic 14,global,tracking,hybrid,asymptotic,input,mechanical,affine,saturation,regulation,piecewise,system,linearization,part,high-order,uniform,without,simple,passive,smooth,inverse
Topic 15,controller,synthesis,petri,nets,modeling,friction,policies,manipulators,timed,robot,sequential,lqr,compensation,deadlock,avoidance,geometric,traffic,specifications,framework,supervisors
Topic 16,optimization,models,convex,markov,processes,algorithms,complexity,perturbation,note,methods,dynamic,hidden,approximation,decision,simultaneous,random,bias,optimality,policies,queueing
Topic 17,sliding,mode,periodic,mpc,disturbances,bounded,subject,lpv,lmi-based,actuators,controller,signals,constraints,parameters,input,saturating,integral,signal,algorithm,reference
Topic 18,controllers,controller,sampled-data,computation,stabilizing,plants,space,inputs,mimo,method,pole,gain,unknown,new,uncertainty,pid,parameter,hysteresis,transformation,zeros
Topic 19,under,mobile,noise,decentralized,agents,sensor,information,formation,measurement,network,coordination,parameterization,constraints,comments,robotic,strategies,nonholonomic,autonomous,covariance,coverage
Topic 20,fault,applications,application,its,detection,motion,principle,vehicle,mobile,relative,spatially,autonomous,averaging,algorithms,isolation,interconnected,robots,degree,controlled,lagrangian
Topic 21,performance,structure,tracking,variable,problem,learning,lti,exact,multivariable,between,path,method,improvement,direct,repetitive,robots,unknown,lemma,matching,universal
Topic 22,disturbance,frequency,system,response,sliding-mode,noisy,second-order,domain,descriptor,data,controller,input-output,hammerstein,time,from,wiener,decoupling,rejection,matrices,realizations
Topic 23,dynamics,quantum,stable,sets,invariant,reduction,zero,hybrid,unstable,transfer,balanced,observers,symbolic,approximations,switched,general,internal,feedforward,robustness,theory
Topic 24,multiple,switched,time,form,tracking,attitude,delays,homogeneous,observer,from,dynamical,measurements,cooperative,stabilizability,mixed,target,product,moving,observers,input-to-state
Topic 25,positive,comments,reply,authors,real,spectral,new,matrix,maximum,exact,bounded,[to,lmis,entropy,risk-sensitive,lemma,factorization,multipliers,[with,existence
Topic 26,problem,singular,problems,method,quadratic,regulation,reduction,optimization,predictive,application,explicit,approximation,technique,value,solutions,efficient,new,solution,constrained,formulation
Topic 27,lyapunov,functions,issue,scanning,production,quadratic,characterization,polynomial,laws,stable,system,function,special,input-to-state,test,strict,dependent,under,guest,induction
Topic 28,switching,boundary,markovian,jump,differential,equations,equation,hybrid,bilinear,exponential,numerical,observation,coupled,solutions,discontinuous,almost,strategy,filtering,delay,variables
Topic 29,time,delay,predictive,switched,switching,scheduling,algorithm,constrained,delayed,system,stabilizing,measurements,single,continuous,machines,computing,continuous-time,asynchronous,min-max,sequential
